機械式/電子式,點位輸出入,資料地址,更換料號,設備描述,分類,最大壽命,當前使用次數,剩餘壽命,綠燈登錄,黃燈登錄,紅燈登錄,當前零件安裝時間,當前零件卸除時間,歷史使用時間,歷史使用次數
FALSE,1,X00,EP-90491K,旋轉編碼器,COMMON,10000000,,,,,,,,,
FALSE,1,X01,EP-90491K,旋轉編碼器,COMMON,10000000,,,,,,,,,
TRUE,1,X02,EP-90763A,緊急停止,COMMON,600000,,,,,,,,,
FALSE,1,X03,EP-90491K,高度編碼器,COMMON,10000000,,,,,,,,,
FALSE,1,X04,EP-90491K,高度編碼器,COMMON,10000000,,,,,,,,,
TRUE,1,X10,EP-90758,油壓啟動按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X11,EP-90758,油壓停止按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X12,EP-90758,鋸片啟動按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X13,EP-90758,鋸片停止按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X14,EP-90758,前虎鉗夾緊按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X15,EP-90758,前虎鉗打開按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X16,EP-90758,鋸片上升按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X17,EP-90758,鋸片下降按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X20,EP-90758,後虎鉗夾緊按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X21,EP-90758,後虎鉗打開按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X22,EP-90758,向右旋轉按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X23,EP-90758,向左旋轉按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X24,EP-90758,選擇前/後上升夾持按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X25,EP-90758,頂端夾持向左移動按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X26,EP-90758,頂端夾持向右移動按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X27,EP-90758,頂端夾持向上移動按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X30,EP-90758,頂端夾持向下移動按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X31,EP-90758,升降滾輪前進按鈕,Panel,35000000,,,,,,,,,
TRUE,1,X32,EP-90758,升降滾輪後退按鈕,Panel,35000000,,,,,,,,,
FALSE,1,X33,EP-90432-2,AMD 鋸帶速度檢測點,CABINET,10000000,,,,,,,,,
TRUE,1,X34,EP-90466P,鋸片馬達過載,CABINET,600000,,,,,,,,,
TRUE,1,X35,EP-90519G,油壓馬達過載,CABINET,600000,,,,,,,,,
TRUE,1,X36,EP-90519,冷卻馬達過載,CABINET,600000,,,,,,,,,
TRUE,1,X40,EP-90464L-17,中央防震馬達過載,CABINET,600000,,,,,,,,,
TRUE,1,X41,EP-90025,上位行程開關,COMMON,100000,,,,,,,,,
TRUE,1,X42,EP-90025,下位行程開關,COMMON,100000,,,,,,,,,
TRUE,1,X43,EP-90025,旋轉回原點開關,COMMON,100000,,,,,,,,,
TRUE,1,X44,EP-90025,右安全門開關,COMMON,100000,,,,,,,,,
TRUE,1,X45,EP-90025,左安全門開關,COMMON,100000,,,,,,,,,
TRUE,1,X46,EP-90025,鋸片保護開關,COMMON,100000,,,,,,,,,
FALSE,1,X47,EP-90591A-2,前夾持壓力差檢知,COMMON,10000000,,,,,,,,,
FALSE,1,X50,EP-90591A-2,後夾持壓力差檢知,COMMON,10000000,,,,,,,,,
TRUE,1,X51,EP-90591A-2,中央防震 過載,COMMON,10000000,,,,,,,,,
TRUE,1,X52,EP-90025,中央防震 右行程開關,COMMON,100000,,,,,,,,,
TRUE,1,X53,EP-90025,中央防震 上位行程開關,COMMON,100000,,,,,,,,,
TRUE,1,X54,EP-90025,中央防震 下位行程開關,COMMON,100000,,,,,,,,,
FALSE,1,X55,EP-90025,前上頂夾持上位開關,COMMON,10000000,,,,,,,,,
FALSE,1,X56,EP-90591A-2,前上頂夾持壓差檢知,COMMON,10000000,,,,,,,,,
TRUE,1,X57,EP-90025,後上頂夾持上位行程開關,COMMON,100000,,,,,,,,,
FALSE,1,X60,EP-90591A-2,後上頂夾持壓差檢知,COMMON,10000000,,,,,,,,,
TRUE,1,X61,PP-96001,潤滑系統油位過低,COMMON,100000,,,,,,,,,
FALSE,1,X62,PP-96001,潤滑系統卡住,COMMON,10000000,,,,,,,,,
FALSE,1,X63,EP-90432-2,前虎鉗重置歸零,COMMON,10000000,,,,,,,,,
FALSE,1,X64,EP-90432-2,後虎鉗重置歸零,COMMON,10000000,,,,,,,,,
